Report Number,Sample Id,Project Name,Brand NickName,Lab Name,Lab Number,Matrix Type,Sampled DateTime,Received Date,Prep date/time,DateTime Test Started,CAS Number,Analyte Description,Result,Unit of Measure,Qualifier,Dilution Factor,Quantitation Limit,Method,QC Batch No
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,104-51-8,n-Butylbenzene,<0.003,mg/Kg - dry,,1,0.003,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,135-98-8,sec-Butyl benzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,98-06-6,tert-Butyl benzene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,75-15-0,Carbon Disulfide,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,56-23-5,Carbon Tetrachloride,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,59-50-7,4-Chloro-3-methylphenol,<0.014,mg/Kg - dry,,1,0.014,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,106-47-8,4-Chloroaniline,<0.044,mg/Kg - dry,,1,0.044,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,108-90-7,Chlorobenzene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,124-48-1,Chlorodibromomethane,<0.0008,mg/Kg - dry,,1,0.0008,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,75-00-3,Chloroethane,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,67-66-3,Chloroform,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,74-87-3,Chloromethane,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,91-58-7,2-Chloronaphthalene,<0.016,mg/Kg - dry,,1,0.016,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,95-57-8,2-Chlorophenol,<0.014,mg/Kg - dry,,1,0.014,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,7005-72-3,4-Chlorophenyl phenyl ether,<0.017,mg/Kg - dry,,1,0.017,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,95-49-8,2-Chlorotoluene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,106-43-4,4-Chlorotoluene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
