Report Number,Sample Id,Project Name,Brand NickName,Lab Name,Lab Number,Matrix Type,Sampled DateTime,Received Date,Prep date/time,DateTime Test Started,CAS Number,Analyte Description,Result,Unit of Measure,Qualifier,Dilution Factor,Quantitation Limit,Method,QC Batch No
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7440-38-2,Arsenic,<0.0040,mg/L,,1,0.0040,SW-6010D,W6818
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/25/2026 02:14 pm,7440-39-3,Barium,0.0510,mg/L,,1,0.0040,SW-6010D,W6960
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7440-43-9,Cadmium,<0.0010,mg/L,,1,0.0010,SW-6010D,W6818
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7440-47-3,Chromium,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7439-92-1,Lead,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 03:02 pm,7439-97-6,Mercury (Total),<0.00010,mg/L,,1,0.00010,SW-7470A,W6846
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/25/2026 02:14 pm,7782-49-2,Selenium,<0.0050,mg/L,,1,0.0050,SW-6010D,W6960
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7440-22-4,Silver,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7440-38-2,Arsenic,<0.0040,mg/L,,1,0.0040,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/25/2026 02:19 pm,7440-39-3,Barium,0.240,mg/L,,1,0.0040,SW-6010D,W6960
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7440-43-9,Cadmium,<0.0010,mg/L,,1,0.0010,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7440-47-3,Chromium,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7439-92-1,Lead,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 03:03 pm,7439-97-6,Mercury (Total),<0.00010,mg/L,,1,0.00010,SW-7470A,W6846
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/25/2026 02:19 pm,7782-49-2,Selenium,<0.0050,mg/L,,1,0.0050,SW-6010D,W6960
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7440-22-4,Silver,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 04:34 pm,7440-38-2,Arsenic,<0.0040,mg/L,,1,0.0040,SW-6010D,W6818
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/25/2026 02:24 pm,7440-39-3,Barium,0.0490,mg/L,,1,0.0040,SW-6010D,W6960
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 04:34 pm,7440-43-9,Cadmium,<0.0010,mg/L,,1,0.0010,SW-6010D,W6818
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 04:34 pm,7440-47-3,Chromium,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 04:34 pm,7439-92-1,Lead,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 03:05 pm,7439-97-6,Mercury (Total),<0.00010,mg/L,,1,0.00010,SW-7470A,W6846
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/25/2026 02:24 pm,7782-49-2,Selenium,<0.0050,mg/L,,1,0.0050,SW-6010D,W6960
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 04:34 pm,7440-22-4,Silver,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:37 pm,Moisture,Moisture,9.79,%,,1,,SW-DRYWT,V66686
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/26/2026 11:49 am,18540-29-9,Chromium Hexavalent,0.741,mg/Kg - dry,,1,0.156,SW-7199,W7114
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/25/2026 12:27 pm,7440-38-2,Arsenic,0.664,mg/Kg - dry,,1,0.277,SW-6010D,W6964
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/25/2026 12:27 pm,7440-39-3,Barium,58.0,mg/Kg - dry,,1,0.166,SW-6010D,W6964
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/25/2026 12:27 pm,7440-43-9,Cadmium,0.143,mg/Kg - dry,,1,0.0554,SW-6010D,W6964
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/25/2026 12:27 pm,7440-47-3,Chromium,22.3,mg/Kg - dry,,1,0.277,SW-6010D,W6964
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/25/2026 12:27 pm,7439-92-1,Lead,0.872,mg/Kg - dry,,1,0.221,SW-6010D,W6964
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/25/2026 03:47 pm,7439-97-6,Mercury (Total),<0.0234,mg/Kg - dry,,1,0.0234,SW-7471B,W6981
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/25/2026 12:27 pm,7782-49-2,Selenium,0.798,mg/Kg - dry,,1,0.387,SW-6010D,W6964
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/25/2026 12:27 pm,7440-22-4,Silver,<0.222,mg/Kg - dry,,1,0.222,SW-6010D,W6964
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,83-32-9,Acenaphthene,<0.166,mg/Kg - dry,,10,0.166,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,208-96-8,Acenaphthylene,<0.124,mg/Kg - dry,,10,0.124,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,67-64-1,Acetone,0.022,mg/Kg - dry,,1,0.009,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,107-02-8,Acrolein,<0.007,mg/Kg - dry,,1,0.007,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,107-13-1,Acrylonitrile,<0.003,mg/Kg - dry,,1,0.003,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,62-53-3,Aniline,<0.221,mg/Kg - dry,,10,0.221,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,120-12-7,Anthracene,<0.152,mg/Kg - dry,,10,0.152,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,71-43-2,Benzene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,56-55-3,Benzo(a)anthracene,<0.139,mg/Kg - dry,,10,0.139,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,50-32-8,Benzo(a)pyrene,<0.230,mg/Kg - dry,,10,0.230,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,205-99-2,Benzo(b)fluoranthene,<0.199,mg/Kg - dry,,10,0.199,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,191-24-2,Benzo(ghi)perylene,<0.277,mg/Kg - dry,,10,0.277,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,207-08-9,Benzo(k)fluoranthene,<0.185,mg/Kg - dry,,10,0.185,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,65-85-0,Benzoic Acid,<3.24,mg/Kg - dry,,10,3.24,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,100-51-6,Benzyl alcohol,<0.400,mg/Kg - dry,,10,0.400,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,111-91-1,Bis(2-Chloroethoxy)methane,<0.137,mg/Kg - dry,,10,0.137,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,111-44-4,Bis(2-Chloroethyl)ether,<0.134,mg/Kg - dry,,10,0.134,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,108-60-1,Bis(2-Chloroisopropyl)ether,<0.208,mg/Kg - dry,,10,0.208,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,117-81-7,Bis(2-ethylhexyl)phthalate,<0.187,mg/Kg - dry,,10,0.187,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,108-86-1,Bromobenzene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,74-97-5,Bromochloromethane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,75-27-4,Bromodichloromethane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,75-25-2,Bromoform,<0.0008,mg/Kg - dry,,1,0.0008,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,74-83-9,Bromomethane,<0.003,mg/Kg - dry,,1,0.003,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,101-55-3,4-Bromophenyl phenyl ether,<0.160,mg/Kg - dry,,10,0.160,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,85-68-7,Butyl benzyl phthalate,<0.195,mg/Kg - dry,,10,0.195,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,104-51-8,n-Butylbenzene,<0.003,mg/Kg - dry,,1,0.003,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,135-98-8,sec-Butyl benzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,98-06-6,tert-Butyl benzene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,75-15-0,Carbon Disulfide,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,56-23-5,Carbon Tetrachloride,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,59-50-7,4-Chloro-3-methylphenol,<0.128,mg/Kg - dry,,10,0.128,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,106-47-8,4-Chloroaniline,<0.395,mg/Kg - dry,,10,0.395,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,108-90-7,Chlorobenzene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,124-48-1,Chlorodibromomethane,<0.0007,mg/Kg - dry,,1,0.0007,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,75-00-3,Chloroethane,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,67-66-3,Chloroform,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,74-87-3,Chloromethane,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,91-58-7,2-Chloronaphthalene,<0.149,mg/Kg - dry,,10,0.149,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,95-57-8,2-Chlorophenol,<0.127,mg/Kg - dry,,10,0.127,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,7005-72-3,4-Chlorophenyl phenyl ether,<0.154,mg/Kg - dry,,10,0.154,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,95-49-8,2-Chlorotoluene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,106-43-4,4-Chlorotoluene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,218-01-9,Chrysene,<0.160,mg/Kg - dry,,10,0.160,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,108-20-3,Di-Isopropyl Ether (DIPE),<0.0010,mg/Kg - dry,,1,0.0010,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,53-70-3,Dibenz(ah)anthracene,<0.271,mg/Kg - dry,,10,0.271,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,132-64-9,Dibenzofuran,<0.149,mg/Kg - dry,,10,0.149,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,96-12-8,12-Dibromo-3-Chloropropane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,106-93-4,12-Dibromoethane,<0.0006,mg/Kg - dry,,1,0.0006,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,74-95-3,Dibromomethane,<0.0007,mg/Kg - dry,,1,0.0007,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,95-50-1,12-Dichlorobenzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,95-50-1,12-Dichlorobenzene,<0.137,mg/Kg - dry,,10,0.137,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,541-73-1,13-Dichlorobenzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,541-73-1,13-Dichlorobenzene,<0.139,mg/Kg - dry,,10,0.139,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,106-46-7,14-Dichlorobenzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,106-46-7,14-Dichlorobenzene,<0.133,mg/Kg - dry,,10,0.133,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,75-71-8,Dichlorodifluoromethane,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/24/2026 06:18 pm,91-94-1,33-Dichlorobenzidine,<2.67,mg/Kg - dry,,10,2.67,SW-8270E,W6783
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,75-34-3,11-Dichloroethane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,107-06-2,12-Dichloroethane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,SB-7 (0-2),900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90163,Solids,02/16/2026 09:40 am,02/17/2026 05:02 pm,,02/23/2026 04:41 pm,75-35-4,11-Dichloroethene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
